[DEBUG] [2024-09-07 17:21:38,514]: RAW message sent: bytearray(b'$M<\x00\x01\x01')
[DEBUG] [2024-09-08 14:22:54,567]: State: 8 - byte received (at 1725769374.5657945): 0
[DEBUG] [2024-09-08 14:22:54,567]: State: 8 - byte received (at 1725769374.5657945): 0
[DEBUG] [2024-09-08 14:22:54,568]: State: 8 - byte received (at 1725769374.5657945): 0
[DEBUG] [2024-09-08 14:22:54,568]: State: 9 - byte received (at 1725769374.5657945): 125
[DEBUG] [2024-09-08 14:22:54,568]: Message received (length 6) - Code 109
[DEBUG] [2024-09-08 14:25:53,342]: RAW message sent: bytearray(b'$M<\x00\x01\x01')
[DEBUG] [2024-09-08 14:25:53,356]: State: 0 - byte received (at 1725769553.356552): 36
[DEBUG] [2024-09-08 14:25:53,357]: State: 1 - byte received (at 1725769553.356552): 77
[DEBUG] [2024-09-08 14:25:53,357]: State: 2 - byte received (at 1725769553.356552): 62
[DEBUG] [2024-09-08 14:25:53,358]: State: 3 - byte received (at 1725769553.356552): 3
[DEBUG] [2024-09-08 14:25:53,358]: State: 4 - byte received (at 1725769553.356552): 1
[DEBUG] [2024-09-08 14:25:53,359]: State: 7 - byte received (at 1725769553.356552): 0
[DEBUG] [2024-09-08 14:25:53,359]: State: 8 - byte received (at 1725769553.356552): 1
[DEBUG] [2024-09-08 14:25:53,359]: State: 8 - byte received (at 1725769553.356552): 42
[DEBUG] [2024-09-08 14:25:53,359]: State: 9 - byte received (at 1725769553.356552): 41
[DEBUG] [2024-09-08 14:25:53,360]: Message received (length 3) - Code 1
[DEBUG] [2024-09-08 14:25:53,360]: RAW message sent: bytearray(b'$M<\x00\x02\x02')
[DEBUG] [2024-09-08 14:25:53,366]: State: 0 - byte received (at 1725769553.366661): 36
[DEBUG] [2024-09-08 14:25:53,367]: State: 1 - byte received (at 1725769553.366661): 77
[DEBUG] [2024-09-08 14:25:53,367]: State: 2 - byte received (at 1725769553.366661): 62
[DEBUG] [2024-09-08 14:25:53,367]: State: 3 - byte received (at 1725769553.366661): 4
[DEBUG] [2024-09-08 14:25:53,368]: State: 4 - byte received (at 1725769553.366661): 2
[DEBUG] [2024-09-08 14:25:53,368]: State: 7 - byte received (at 1725769553.366661): 66
[DEBUG] [2024-09-08 14:25:53,368]: State: 8 - byte received (at 1725769553.366661): 84
[DEBUG] [2024-09-08 14:25:53,369]: State: 8 - byte received (at 1725769553.366661): 70
[DEBUG] [2024-09-08 14:25:53,369]: State: 8 - byte received (at 1725769553.366661): 76
[DEBUG] [2024-09-08 14:25:53,369]: State: 9 - byte received (at 1725769553.366661): 26
[DEBUG] [2024-09-08 14:25:53,369]: Message received (length 4) - Code 2
[DEBUG] [2024-09-08 14:25:53,370]: RAW message sent: bytearray(b'$M<\x00\x03\x03')
[DEBUG] [2024-09-08 14:25:53,376]: State: 0 - byte received (at 1725769553.3763912): 36
[DEBUG] [2024-09-08 14:25:53,376]: State: 1 - byte received (at 1725769553.3763912): 77
[DEBUG] [2024-09-08 14:25:53,376]: State: 2 - byte received (at 1725769553.3763912): 62
[DEBUG] [2024-09-08 14:25:53,377]: State: 3 - byte received (at 1725769553.3763912): 3
[DEBUG] [2024-09-08 14:25:53,377]: State: 4 - byte received (at 1725769553.3763912): 3
[DEBUG] [2024-09-08 14:25:53,377]: State: 7 - byte received (at 1725769553.3763912): 4
[DEBUG] [2024-09-08 14:25:53,378]: State: 8 - byte received (at 1725769553.3763912): 1
[DEBUG] [2024-09-08 14:25:53,378]: State: 8 - byte received (at 1725769553.3763912): 1
[DEBUG] [2024-09-08 14:25:53,378]: State: 9 - byte received (at 1725769553.3763912): 4
[DEBUG] [2024-09-08 14:25:53,378]: Message received (length 3) - Code 3
[DEBUG] [2024-09-08 14:25:53,379]: RAW message sent: bytearray(b'$M<\x00\x05\x05')
[DEBUG] [2024-09-08 14:25:53,388]: State: 0 - byte received (at 1725769553.388586): 36
[DEBUG] [2024-09-08 14:25:53,389]: State: 1 - byte received (at 1725769553.388586): 77
[DEBUG] [2024-09-08 14:25:53,389]: State: 2 - byte received (at 1725769553.388586): 62
[DEBUG] [2024-09-08 14:25:53,390]: State: 3 - byte received (at 1725769553.388586): 26
[DEBUG] [2024-09-08 14:25:53,390]: State: 4 - byte received (at 1725769553.388586): 5
[DEBUG] [2024-09-08 14:25:53,391]: State: 7 - byte received (at 1725769553.388586): 78
[DEBUG] [2024-09-08 14:25:53,391]: State: 8 - byte received (at 1725769553.388586): 111
[DEBUG] [2024-09-08 14:25:53,391]: State: 8 - byte received (at 1725769553.388586): 118
[DEBUG] [2024-09-08 14:25:53,392]: State: 8 - byte received (at 1725769553.388586): 32
[DEBUG] [2024-09-08 14:25:53,392]: State: 8 - byte received (at 1725769553.388586): 49
[DEBUG] [2024-09-08 14:25:53,392]: State: 8 - byte received (at 1725769553.388586): 53
[DEBUG] [2024-09-08 14:25:53,392]: State: 8 - byte received (at 1725769553.388586): 32
[DEBUG] [2024-09-08 14:25:53,393]: State: 8 - byte received (at 1725769553.388586): 50
[DEBUG] [2024-09-08 14:25:53,393]: State: 8 - byte received (at 1725769553.388586): 48
[DEBUG] [2024-09-08 14:25:53,393]: State: 8 - byte received (at 1725769553.388586): 49
[DEBUG] [2024-09-08 14:25:53,393]: State: 8 - byte received (at 1725769553.388586): 57
[DEBUG] [2024-09-08 14:25:53,394]: State: 8 - byte received (at 1725769553.388586): 49
[DEBUG] [2024-09-08 14:25:53,394]: State: 8 - byte received (at 1725769553.388586): 50
[DEBUG] [2024-09-08 14:25:53,394]: State: 8 - byte received (at 1725769553.388586): 58
[DEBUG] [2024-09-08 14:25:53,394]: State: 8 - byte received (at 1725769553.388586): 52
[DEBUG] [2024-09-08 14:25:53,395]: State: 8 - byte received (at 1725769553.388586): 50
[DEBUG] [2024-09-08 14:25:53,395]: State: 8 - byte received (at 1725769553.388586): 58
[DEBUG] [2024-09-08 14:25:53,395]: State: 8 - byte received (at 1725769553.388586): 51
[DEBUG] [2024-09-08 14:25:53,395]: State: 8 - byte received (at 1725769553.388586): 52
[DEBUG] [2024-09-08 14:25:53,396]: State: 8 - byte received (at 1725769553.388586): 49
[DEBUG] [2024-09-08 14:25:53,396]: State: 8 - byte received (at 1725769553.388586): 101
[DEBUG] [2024-09-08 14:25:53,396]: State: 8 - byte received (at 1725769553.388586): 53
[DEBUG] [2024-09-08 14:25:53,396]: State: 8 - byte received (at 1725769553.388586): 101
[DEBUG] [2024-09-08 14:25:53,396]: State: 8 - byte received (at 1725769553.388586): 51
[DEBUG] [2024-09-08 14:25:53,397]: State: 8 - byte received (at 1725769553.388586): 100
[DEBUG] [2024-09-08 14:25:53,397]: State: 8 - byte received (at 1725769553.388586): 51
[DEBUG] [2024-09-08 14:25:53,397]: State: 9 - byte received (at 1725769553.388586): 36
[DEBUG] [2024-09-08 14:25:53,397]: Message received (length 26) - Code 5
[DEBUG] [2024-09-08 14:25:53,398]: RAW message sent: bytearray(b'$M<\x00\x04\x04')
[DEBUG] [2024-09-08 14:25:53,408]: State: 0 - byte received (at 1725769553.4084084): 36
[DEBUG] [2024-09-08 14:25:53,408]: State: 1 - byte received (at 1725769553.4084084): 77
[DEBUG] [2024-09-08 14:25:53,408]: State: 2 - byte received (at 1725769553.4084084): 62
[DEBUG] [2024-09-08 14:25:53,409]: State: 3 - byte received (at 1725769553.4084084): 67
[DEBUG] [2024-09-08 14:25:53,409]: State: 4 - byte received (at 1725769553.4084084): 4
[DEBUG] [2024-09-08 14:25:53,412]: State: 7 - byte received (at 1725769553.4084084): 79
[DEBUG] [2024-09-08 14:25:53,412]: State: 8 - byte received (at 1725769553.4084084): 66
[DEBUG] [2024-09-08 14:25:53,412]: State: 8 - byte received (at 1725769553.4084084): 83
[DEBUG] [2024-09-08 14:25:53,413]: State: 8 - byte received (at 1725769553.4084084): 68
[DEBUG] [2024-09-08 14:25:53,413]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,413]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,414]: State: 8 - byte received (at 1725769553.4084084): 2
[DEBUG] [2024-09-08 14:25:53,414]: State: 8 - byte received (at 1725769553.4084084): 3
[DEBUG] [2024-09-08 14:25:53,414]: State: 8 - byte received (at 1725769553.4084084): 11
[DEBUG] [2024-09-08 14:25:53,415]: State: 8 - byte received (at 1725769553.4084084): 79
[DEBUG] [2024-09-08 14:25:53,415]: State: 8 - byte received (at 1725769553.4084084): 77
[DEBUG] [2024-09-08 14:25:53,416]: State: 8 - byte received (at 1725769553.4084084): 78
[DEBUG] [2024-09-08 14:25:53,416]: State: 8 - byte received (at 1725769553.4084084): 73
[DEBUG] [2024-09-08 14:25:53,417]: State: 8 - byte received (at 1725769553.4084084): 66
[DEBUG] [2024-09-08 14:25:53,417]: State: 8 - byte received (at 1725769553.4084084): 85
[DEBUG] [2024-09-08 14:25:53,417]: State: 8 - byte received (at 1725769553.4084084): 83
[DEBUG] [2024-09-08 14:25:53,418]: State: 8 - byte received (at 1725769553.4084084): 70
[DEBUG] [2024-09-08 14:25:53,418]: State: 8 - byte received (at 1725769553.4084084): 52
[DEBUG] [2024-09-08 14:25:53,419]: State: 8 - byte received (at 1725769553.4084084): 83
[DEBUG] [2024-09-08 14:25:53,419]: State: 8 - byte received (at 1725769553.4084084): 68
[DEBUG] [2024-09-08 14:25:53,420]: State: 8 - byte received (at 1725769553.4084084): 11
[DEBUG] [2024-09-08 14:25:53,420]: State: 8 - byte received (at 1725769553.4084084): 79
[DEBUG] [2024-09-08 14:25:53,420]: State: 8 - byte received (at 1725769553.4084084): 77
[DEBUG] [2024-09-08 14:25:53,421]: State: 8 - byte received (at 1725769553.4084084): 78
[DEBUG] [2024-09-08 14:25:53,421]: State: 8 - byte received (at 1725769553.4084084): 73
[DEBUG] [2024-09-08 14:25:53,421]: State: 8 - byte received (at 1725769553.4084084): 66
[DEBUG] [2024-09-08 14:25:53,421]: State: 8 - byte received (at 1725769553.4084084): 85
[DEBUG] [2024-09-08 14:25:53,422]: State: 8 - byte received (at 1725769553.4084084): 83
[DEBUG] [2024-09-08 14:25:53,422]: State: 8 - byte received (at 1725769553.4084084): 70
[DEBUG] [2024-09-08 14:25:53,422]: State: 8 - byte received (at 1725769553.4084084): 52
[DEBUG] [2024-09-08 14:25:53,423]: State: 8 - byte received (at 1725769553.4084084): 83
[DEBUG] [2024-09-08 14:25:53,423]: State: 8 - byte received (at 1725769553.4084084): 68
[DEBUG] [2024-09-08 14:25:53,423]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,423]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,424]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,424]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,424]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,424]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,424]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,425]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,425]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,425]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,425]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,425]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,426]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,426]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,426]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,426]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,426]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,426]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,427]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,427]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,427]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,428]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,428]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,428]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,429]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,429]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,430]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,430]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,430]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,430]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,431]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,431]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,431]: State: 8 - byte received (at 1725769553.4084084): 0
[DEBUG] [2024-09-08 14:25:53,431]: State: 8 - byte received (at 1725769553.4084084): 3
[DEBUG] [2024-09-08 14:25:53,431]: State: 8 - byte received (at 1725769553.4084084): 2
[DEBUG] [2024-09-08 14:25:53,432]: State: 9 - byte received (at 1725769553.4084084): 93
[DEBUG] [2024-09-08 14:25:53,432]: Message received (length 67) - Code 4
[DEBUG] [2024-09-08 14:25:53,433]: RAW message sent: bytearray(b'$M<\x00\xa0\xa0')
[DEBUG] [2024-09-08 14:25:53,447]: State: 0 - byte received (at 1725769553.4473982): 36
[DEBUG] [2024-09-08 14:25:53,447]: State: 1 - byte received (at 1725769553.4473982): 77
[DEBUG] [2024-09-08 14:25:53,448]: State: 2 - byte received (at 1725769553.4473982): 62
[DEBUG] [2024-09-08 14:25:53,448]: State: 3 - byte received (at 1725769553.4473982): 12
[DEBUG] [2024-09-08 14:25:53,448]: State: 4 - byte received (at 1725769553.4473982): 160
[DEBUG] [2024-09-08 14:25:53,449]: State: 7 - byte received (at 1725769553.4473982): 49
[DEBUG] [2024-09-08 14:25:53,449]: State: 8 - byte received (at 1725769553.4473982): 0
[DEBUG] [2024-09-08 14:25:53,449]: State: 8 - byte received (at 1725769553.4473982): 26
[DEBUG] [2024-09-08 14:25:53,449]: State: 8 - byte received (at 1725769553.4473982): 0
[DEBUG] [2024-09-08 14:25:53,450]: State: 8 - byte received (at 1725769553.4473982): 8
[DEBUG] [2024-09-08 14:25:53,450]: State: 8 - byte received (at 1725769553.4473982): 71
[DEBUG] [2024-09-08 14:25:53,450]: State: 8 - byte received (at 1725769553.4473982): 50
[DEBUG] [2024-09-08 14:25:53,450]: State: 8 - byte received (at 1725769553.4473982): 50
[DEBUG] [2024-09-08 14:25:53,450]: State: 8 - byte received (at 1725769553.4473982): 56
[DEBUG] [2024-09-08 14:25:53,451]: State: 8 - byte received (at 1725769553.4473982): 54
[DEBUG] [2024-09-08 14:25:53,451]: State: 8 - byte received (at 1725769553.4473982): 53
[DEBUG] [2024-09-08 14:25:53,451]: State: 8 - byte received (at 1725769553.4473982): 51
[DEBUG] [2024-09-08 14:25:53,451]: State: 9 - byte received (at 1725769553.4473982): 192
[DEBUG] [2024-09-08 14:25:53,451]: Message received (length 12) - Code 160
[DEBUG] [2024-09-08 14:25:53,452]: RAW message sent: bytearray(b'$M<\x00\xf0\xf0')
[DEBUG] [2024-09-08 14:25:53,456]: State: 0 - byte received (at 1725769553.4566896): 36
[DEBUG] [2024-09-08 14:25:53,457]: State: 1 - byte received (at 1725769553.4566896): 77
[DEBUG] [2024-09-08 14:25:53,457]: State: 2 - byte received (at 1725769553.4566896): 62
[DEBUG] [2024-09-08 14:25:53,457]: State: 3 - byte received (at 1725769553.4566896): 4
[DEBUG] [2024-09-08 14:25:53,457]: State: 4 - byte received (at 1725769553.4566896): 240
[DEBUG] [2024-09-08 14:25:53,458]: State: 7 - byte received (at 1725769553.4566896): 0
[DEBUG] [2024-09-08 14:25:53,458]: State: 8 - byte received (at 1725769553.4566896): 0
[DEBUG] [2024-09-08 14:25:53,458]: State: 8 - byte received (at 1725769553.4566896): 0
[DEBUG] [2024-09-08 14:25:53,458]: State: 8 - byte received (at 1725769553.4566896): 0
[DEBUG] [2024-09-08 14:25:53,459]: State: 9 - byte received (at 1725769553.4566896): 244
[DEBUG] [2024-09-08 14:25:53,459]: Message received (length 4) - Code 240
[DEBUG] [2024-09-08 14:25:53,459]: RAW message sent: bytearray(b'$M<\x00\n\n')
[DEBUG] [2024-09-08 14:25:53,466]: State: 0 - byte received (at 1725769553.466457): 36
[DEBUG] [2024-09-08 14:25:53,466]: State: 1 - byte received (at 1725769553.466457): 77
[DEBUG] [2024-09-08 14:25:53,467]: State: 2 - byte received (at 1725769553.466457): 62
[DEBUG] [2024-09-08 14:25:53,467]: State: 3 - byte received (at 1725769553.466457): 0
[DEBUG] [2024-09-08 14:25:53,468]: State: 4 - byte received (at 1725769553.466457): 10
[DEBUG] [2024-09-08 14:25:53,468]: State: 9 - byte received (at 1725769553.466457): 10
[DEBUG] [2024-09-08 14:25:53,468]: Message received (length 0) - Code 10
[DEBUG] [2024-09-08 14:25:53,469]: RAW message sent: bytearray(b'$M<\x00ee')
[DEBUG] [2024-09-08 14:25:53,478]: State: 0 - byte received (at 1725769553.4783952): 36
[DEBUG] [2024-09-08 14:25:53,478]: State: 1 - byte received (at 1725769553.4783952): 77
[DEBUG] [2024-09-08 14:25:53,479]: State: 2 - byte received (at 1725769553.4783952): 62
[DEBUG] [2024-09-08 14:25:53,479]: State: 3 - byte received (at 1725769553.4783952): 22
[DEBUG] [2024-09-08 14:25:53,479]: State: 4 - byte received (at 1725769553.4783952): 101
[DEBUG] [2024-09-08 14:25:53,480]: State: 7 - byte received (at 1725769553.4783952): 126
[DEBUG] [2024-09-08 14:25:53,480]: State: 8 - byte received (at 1725769553.4783952): 0
[DEBUG] [2024-09-08 14:25:53,480]: State: 8 - byte received (at 1725769553.4783952): 0
[DEBUG] [2024-09-08 14:25:53,481]: State: 8 - byte received (at 1725769553.4783952): 0
[DEBUG] [2024-09-08 14:25:53,481]: State: 8 - byte received (at 1725769553.4783952): 35
[DEBUG] [2024-09-08 14:25:53,481]: State: 8 - byte received (at 1725769553.4783952): 0
[DEBUG] [2024-09-08 14:25:53,481]: State: 8 - byte received (at 1725769553.4783952): 0
[DEBUG] [2024-09-08 14:25:53,482]: State: 8 - byte received (at 1725769553.4783952): 0
[DEBUG] [2024-09-08 14:25:53,482]: State: 8 - byte received (at 1725769553.4783952): 0
[DEBUG] [2024-09-08 14:25:53,482]: State: 8 - byte received (at 1725769553.4783952): 0
[DEBUG] [2024-09-08 14:25:53,482]: State: 8 - byte received (at 1725769553.4783952): 0
[DEBUG] [2024-09-08 14:25:53,482]: State: 8 - byte received (at 1725769553.4783952): 9
[DEBUG] [2024-09-08 14:25:53,483]: State: 8 - byte received (at 1725769553.4783952): 0
[DEBUG] [2024-09-08 14:25:53,483]: State: 8 - byte received (at 1725769553.4783952): 0
[DEBUG] [2024-09-08 14:25:53,483]: State: 8 - byte received (at 1725769553.4783952): 0
[DEBUG] [2024-09-08 14:25:53,483]: State: 8 - byte received (at 1725769553.4783952): 0
[DEBUG] [2024-09-08 14:25:53,484]: State: 8 - byte received (at 1725769553.4783952): 24
[DEBUG] [2024-09-08 14:25:53,484]: State: 8 - byte received (at 1725769553.4783952): 4
[DEBUG] [2024-09-08 14:25:53,484]: State: 8 - byte received (at 1725769553.4783952): 1
[DEBUG] [2024-09-08 14:25:53,484]: State: 8 - byte received (at 1725769553.4783952): 0
[DEBUG] [2024-09-08 14:25:53,485]: State: 8 - byte received (at 1725769553.4783952): 0
[DEBUG] [2024-09-08 14:25:53,485]: State: 8 - byte received (at 1725769553.4783952): 0
[DEBUG] [2024-09-08 14:25:53,485]: State: 9 - byte received (at 1725769553.4783952): 58
[DEBUG] [2024-09-08 14:25:53,485]: Message received (length 22) - Code 101
[DEBUG] [2024-09-08 14:25:53,486]: RAW message sent: bytearray(b'$M<\x00\x96\x96')
[DEBUG] [2024-09-08 14:25:53,498]: State: 0 - byte received (at 1725769553.4986057): 36
[DEBUG] [2024-09-08 14:25:53,499]: State: 1 - byte received (at 1725769553.4986057): 77
[DEBUG] [2024-09-08 14:25:53,499]: State: 2 - byte received (at 1725769553.4986057): 62
[DEBUG] [2024-09-08 14:25:53,500]: State: 3 - byte received (at 1725769553.4986057): 22
[DEBUG] [2024-09-08 14:25:53,500]: State: 4 - byte received (at 1725769553.4986057): 150
[DEBUG] [2024-09-08 14:25:53,501]: State: 7 - byte received (at 1725769553.4986057): 130
[DEBUG] [2024-09-08 14:25:53,501]: State: 8 - byte received (at 1725769553.4986057): 0
[DEBUG] [2024-09-08 14:25:53,501]: State: 8 - byte received (at 1725769553.4986057): 0
[DEBUG] [2024-09-08 14:25:53,502]: State: 8 - byte received (at 1725769553.4986057): 0
[DEBUG] [2024-09-08 14:25:53,502]: State: 8 - byte received (at 1725769553.4986057): 35
[DEBUG] [2024-09-08 14:25:53,502]: State: 8 - byte received (at 1725769553.4986057): 0
[DEBUG] [2024-09-08 14:25:53,503]: State: 8 - byte received (at 1725769553.4986057): 0
[DEBUG] [2024-09-08 14:25:53,503]: State: 8 - byte received (at 1725769553.4986057): 0
[DEBUG] [2024-09-08 14:25:53,504]: State: 8 - byte received (at 1725769553.4986057): 0
[DEBUG] [2024-09-08 14:25:53,504]: State: 8 - byte received (at 1725769553.4986057): 0
[DEBUG] [2024-09-08 14:25:53,505]: State: 8 - byte received (at 1725769553.4986057): 0
[DEBUG] [2024-09-08 14:25:53,505]: State: 8 - byte received (at 1725769553.4986057): 9
[DEBUG] [2024-09-08 14:25:53,505]: State: 8 - byte received (at 1725769553.4986057): 0
[DEBUG] [2024-09-08 14:25:53,505]: State: 8 - byte received (at 1725769553.4986057): 3
[DEBUG] [2024-09-08 14:25:53,506]: State: 8 - byte received (at 1725769553.4986057): 0
[DEBUG] [2024-09-08 14:25:53,506]: State: 8 - byte received (at 1725769553.4986057): 0
[DEBUG] [2024-09-08 14:25:53,506]: State: 8 - byte received (at 1725769553.4986057): 24
[DEBUG] [2024-09-08 14:25:53,507]: State: 8 - byte received (at 1725769553.4986057): 4
[DEBUG] [2024-09-08 14:25:53,507]: State: 8 - byte received (at 1725769553.4986057): 1
[DEBUG] [2024-09-08 14:25:53,507]: State: 8 - byte received (at 1725769553.4986057): 0
[DEBUG] [2024-09-08 14:25:53,508]: State: 8 - byte received (at 1725769553.4986057): 0
[DEBUG] [2024-09-08 14:25:53,508]: State: 8 - byte received (at 1725769553.4986057): 0
[DEBUG] [2024-09-08 14:25:53,508]: State: 9 - byte received (at 1725769553.4986057): 54
[DEBUG] [2024-09-08 14:25:53,508]: Message received (length 22) - Code 150
[DEBUG] [2024-09-08 14:26:15,807]: RAW message sent: bytearray(b'$M<\x00\x01\x01')
[DEBUG] [2024-09-08 14:26:15,818]: State: 0 - byte received (at 1725769575.8179786): 36
[DEBUG] [2024-09-08 14:26:15,819]: State: 1 - byte received (at 1725769575.8179786): 77
[DEBUG] [2024-09-08 14:26:15,819]: State: 2 - byte received (at 1725769575.8179786): 62
[DEBUG] [2024-09-08 14:26:15,820]: State: 3 - byte received (at 1725769575.8179786): 3
[DEBUG] [2024-09-08 14:26:15,820]: State: 4 - byte received (at 1725769575.8179786): 1
[DEBUG] [2024-09-08 14:26:15,821]: State: 7 - byte received (at 1725769575.8179786): 0
[DEBUG] [2024-09-08 14:26:15,821]: State: 8 - byte received (at 1725769575.8179786): 1
[DEBUG] [2024-09-08 14:26:15,821]: State: 8 - byte received (at 1725769575.8179786): 42
[DEBUG] [2024-09-08 14:26:15,822]: State: 9 - byte received (at 1725769575.8179786): 41
[DEBUG] [2024-09-08 14:26:15,822]: Message received (length 3) - Code 1
[DEBUG] [2024-09-08 14:26:15,823]: RAW message sent: bytearray(b'$M<\x00\x02\x02')
[DEBUG] [2024-09-08 14:26:15,827]: State: 0 - byte received (at 1725769575.8278039): 36
[DEBUG] [2024-09-08 14:26:15,828]: State: 1 - byte received (at 1725769575.8278039): 77
[DEBUG] [2024-09-08 14:26:15,828]: State: 2 - byte received (at 1725769575.8278039): 62
[DEBUG] [2024-09-08 14:26:15,828]: State: 3 - byte received (at 1725769575.8278039): 4
[DEBUG] [2024-09-08 14:26:15,828]: State: 4 - byte received (at 1725769575.8278039): 2
[DEBUG] [2024-09-08 14:26:15,829]: State: 7 - byte received (at 1725769575.8278039): 66
[DEBUG] [2024-09-08 14:26:15,829]: State: 8 - byte received (at 1725769575.8278039): 84
[DEBUG] [2024-09-08 14:26:15,829]: State: 8 - byte received (at 1725769575.8278039): 70
[DEBUG] [2024-09-08 14:26:15,829]: State: 8 - byte received (at 1725769575.8278039): 76
[DEBUG] [2024-09-08 14:26:15,830]: State: 9 - byte received (at 1725769575.8278039): 26
[DEBUG] [2024-09-08 14:26:15,830]: Message received (length 4) - Code 2
[DEBUG] [2024-09-08 14:26:15,831]: RAW message sent: bytearray(b'$M<\x00\x03\x03')
[DEBUG] [2024-09-08 14:26:15,837]: State: 0 - byte received (at 1725769575.837865): 36
[DEBUG] [2024-09-08 14:26:15,838]: State: 1 - byte received (at 1725769575.837865): 77
[DEBUG] [2024-09-08 14:26:15,838]: State: 2 - byte received (at 1725769575.837865): 62
[DEBUG] [2024-09-08 14:26:15,839]: State: 3 - byte received (at 1725769575.837865): 3
[DEBUG] [2024-09-08 14:26:15,839]: State: 4 - byte received (at 1725769575.837865): 3
[DEBUG] [2024-09-08 14:26:15,839]: State: 7 - byte received (at 1725769575.837865): 4
[DEBUG] [2024-09-08 14:26:15,839]: State: 8 - byte received (at 1725769575.837865): 1
[DEBUG] [2024-09-08 14:26:15,840]: State: 8 - byte received (at 1725769575.837865): 1
[DEBUG] [2024-09-08 14:26:15,840]: State: 9 - byte received (at 1725769575.837865): 4
[DEBUG] [2024-09-08 14:26:15,840]: Message received (length 3) - Code 3
[DEBUG] [2024-09-08 14:26:15,841]: RAW message sent: bytearray(b'$M<\x00\x05\x05')
[DEBUG] [2024-09-08 14:26:15,850]: State: 0 - byte received (at 1725769575.8499212): 36
[DEBUG] [2024-09-08 14:26:15,850]: State: 1 - byte received (at 1725769575.8499212): 77
[DEBUG] [2024-09-08 14:26:15,850]: State: 2 - byte received (at 1725769575.8499212): 62
[DEBUG] [2024-09-08 14:26:15,851]: State: 3 - byte received (at 1725769575.8499212): 26
[DEBUG] [2024-09-08 14:26:15,851]: State: 4 - byte received (at 1725769575.8499212): 5
[DEBUG] [2024-09-08 14:26:15,851]: State: 7 - byte received (at 1725769575.8499212): 78
[DEBUG] [2024-09-08 14:26:15,851]: State: 8 - byte received (at 1725769575.8499212): 111
[DEBUG] [2024-09-08 14:26:15,852]: State: 8 - byte received (at 1725769575.8499212): 118
[DEBUG] [2024-09-08 14:26:15,852]: State: 8 - byte received (at 1725769575.8499212): 32
[DEBUG] [2024-09-08 14:26:15,852]: State: 8 - byte received (at 1725769575.8499212): 49
